id;created_at;updated_at;relation_id;related_question_id;related_answer_id;visible_if_true;before;operator_several_conditions;answer_id;operator;answer_content;after;position;next_question_id_if_false
35;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;10;=;1;"";;
36;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;17;=;1;"";;
37;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;20;=;1;"";;
38;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;21;=;1;"";;
39;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;22;=;1;"";;
40;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;25;=;1;"";;
41;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;26;=;1;"";;
42;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;28;=;1;"";;
43;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;29;=;1;"";;
44;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;30;=;1;"";;
45;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;33;=;1;"";;
46;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;34;=;1;"";;
47;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;40;=;1;"";;
48;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";"";7;=;1;"";;
49;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;8;=;1;"";;
50;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;9;=;1;"";;
51;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;10;=;1;"";;
52;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;17;=;1;"";;
53;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;20;=;1;"";;
54;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;21;=;1;"";;
55;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;22;=;1;"";;
56;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;25;=;1;"";;
57;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;26;=;1;"";;
58;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;28;=;1;"";;
59;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;29;=;1;"";;
60;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;30;=;1;"";;
61;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;33;=;1;"";;
62;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;34;=;1;"";;
63;2020-07-17 11:54:29;2020-07-17 11:54:29;16;;47;1;"";OR;40;=;1;"";;
64;2020-07-17 11:54:29;2020-07-17 11:54:29;17;;57;1;"";"";46;<;1;"";;
65;2020-07-17 11:54:29;2020-07-17 11:54:29;17;;57;1;"";AND;47;<;1;"";;
68;2020-07-17 11:54:29;2020-07-17 11:54:29;1;;48;1;"";AND;46;<;1;"";;
69;2020-07-17 11:54:29;2020-07-17 11:54:29;1;;48;1;"";AND;47;<;1;"";;
74;2020-07-17 11:54:29;2020-07-31 11:44:14;7;23;;1;(;AND;2;=;0;"";6;25
75;2020-07-17 11:54:29;2020-07-31 11:44:14;7;23;;1;"";AND;3;=;0;"";7;25
76;2020-07-17 11:54:29;2020-07-31 11:44:14;7;23;;1;"";AND;4;=;0;"";8;25
77;2020-07-17 11:54:29;2020-07-17 11:54:29;8;25;;1;(;"";2;=;1;"";3;27
78;2020-07-17 11:54:29;2020-07-17 11:54:29;8;25;;1;"";OR;3;=;1;"";4;27
79;2020-07-17 11:54:29;2020-07-17 11:54:29;8;25;;1;"";OR;4;=;1;"";5;27
80;2020-07-17 11:54:29;2020-07-31 11:44:14;9;27;;1;"";OR;3;=;1;"";3;
81;2020-07-17 11:54:29;2020-07-31 11:44:14;9;27;;1;"";OR;4;=;1;"";4;
82;2020-07-17 11:54:29;2020-07-31 11:44:14;9;27;;1;"";OR;5;=;1;);5;
