"id";"created_at";"updated_at";"dimension";"answer_id_own";"answer_id_partner";"valuecode";"weight";"exclusion"
"42";NULL;NULL;"3";"43";"43";"1";;NULL
"43";NULL;NULL;"3";"44";"44";"1";;NULL
"44";NULL;NULL;"4";"48";"48";"1";;NULL
"45";NULL;NULL;"5";"48";"48";"1";;NULL
"46";NULL;NULL;"5";"49";"49";"1";;NULL
"47";NULL;NULL;"4";"50";"50";"1";;NULL
"48";NULL;NULL;"4";"51";"51";"1";;NULL
"49";NULL;NULL;"4";"52";"52";"1";;NULL
"50";NULL;NULL;"4";"53";"53";"1";;NULL
"51";NULL;NULL;"4";"54";"54";"1";;NULL
"52";NULL;NULL;"4";"55";"55";"1";;NULL
"53";NULL;NULL;"4";"56";"56";"1";;NULL
"54";NULL;NULL;"5";"57";"57";"1";;NULL
"55";NULL;NULL;"4";"58";"58";"1";;NULL
"56";NULL;NULL;"4";"59";"59";"1";;NULL
"57";NULL;NULL;"4";"60";"60";"1";;NULL
"58";NULL;NULL;"4";"61";"61";"1";;NULL
"59";NULL;NULL;"4";"62";"62";"1";;NULL
"60";NULL;NULL;"5";"63";"63";"1";;NULL
"61";NULL;NULL;"4";"64";"64";"1";;NULL
"62";NULL;NULL;"4";"65";"65";"1";;NULL
"63";NULL;NULL;"4";"66";"66";"1";;NULL
"64";NULL;NULL;"4";"67";"67";"1";;NULL
"65";NULL;NULL;"4";"68";"68";"1";;NULL
"66";NULL;NULL;"4";"69";"69";"1";;NULL
"67";NULL;NULL;"4";"70";"70";"1";;NULL
"68";NULL;NULL;"4";"71";"71";"1";;NULL
"69";NULL;NULL;"4";"72";"72";"1";;NULL
"70";NULL;NULL;"4";"73";"73";"1";;NULL
"71";NULL;NULL;"4";"74";"74";"1";;NULL
"72";NULL;NULL;"4";"75";"75";"1";;NULL
"73";NULL;NULL;"4";"76";"76";"1";;NULL
"74";NULL;NULL;"4";"77";"77";"1";;NULL
"75";NULL;NULL;"5";"70";"70";"1";;NULL
"76";NULL;NULL;"5";"71";"71";"1";;NULL
"77";NULL;NULL;"5";"72";"72";"1";;NULL
"78";NULL;NULL;"5";"73";"73";"1";;NULL
"79";NULL;NULL;"5";"74";"74";"1";;NULL
"80";NULL;NULL;"5";"75";"75";"1";;NULL
"81";NULL;NULL;"5";"76";"76";"1";;NULL
"82";NULL;NULL;"5";"77";"77";"1";;NULL
"83";NULL;NULL;"5";"57";"70";"2";"90";NULL
"84";NULL;NULL;"5";"70";"57";"2";"100";NULL
"85";NULL;NULL;"5";"70";"71";"2";"90";NULL
"86";NULL;NULL;"5";"71";"70";"2";"90";NULL
"87";NULL;NULL;"5";"73";"74";"2";"100";NULL
"88";NULL;NULL;"5";"74";"73";"2";"100";NULL
"89";NULL;NULL;"5";"76";"77";"2";"100";NULL
"90";NULL;NULL;"5";"77";"76";"2";"100";NULL
"91";NULL;NULL;"4";"55";"56";"2";"100";NULL
"92";NULL;NULL;"4";"56";"55";"2";"100";NULL
"93";NULL;NULL;"4";"61";"62";"2";"100";NULL
"94";NULL;NULL;"4";"62";"61";"2";"100";NULL
"95";NULL;NULL;"4";"68";"69";"2";"100";NULL
"96";NULL;NULL;"4";"69";"68";"2";"100";NULL
"97";NULL;NULL;"1";"11";"24";"2";"100";NULL
"98";NULL;NULL;"1";"24";"11";"2";"100";NULL
"99";NULL;NULL;"1";"6";"25";"2";"100";NULL
"100";NULL;NULL;"1";"25";"6";"2";"100";NULL
"101";NULL;NULL;"1";"26";"27";"2";"100";NULL
"102";NULL;NULL;"1";"27";"26";"2";"100";NULL
"103";NULL;NULL;"1";"28";"29";"2";"100";NULL
"104";NULL;NULL;"1";"29";"28";"2";"100";NULL
"105";NULL;NULL;"-1";"72";"73";-1;-1;"1"
"106";NULL;NULL;"-1";"73";"72";-1;-1;"1"
"107";NULL;NULL;"-1";"72";"74";-1;-1;"1"
"108";NULL;NULL;"-1";"74";"72";-1;-1;"1"
"109";NULL;NULL;"-1";"173";"180";-1;-1;"1"
"110";NULL;NULL;"-1";"180";"173";-1;-1;"1"
"111";NULL;NULL;"-1";"173";"179";-1;-1;"1"
"112";NULL;NULL;"-1";"179";"173";-1;-1;"1"
"113";NULL;NULL;"-1";"174";"180";-1;-1;"1"
"114";NULL;NULL;"-1";"180";"174";-1;-1;"1"
"115";NULL;NULL;"2";"11";"24";"1";"100";NULL
"116";NULL;NULL;"2";"24";"11";"1";"100";NULL
"117";NULL;NULL;"2";"25";"6";"1";"100";NULL
"118";NULL;NULL;"2";"6";"25";"1";"100";NULL
