id;position;topic;question;public;answer;
11;11;Trauerfreundschaften;Kann ich sehen, wer mein Profil besucht hat?;1;Nein. Jeder, der den Fragebogen ausgefüllt hat, darf sich anonym und in Ruhe bei den anderen umschauen. Sowohl du, als auch die anderen, werden erst sichtbar durch Kontaktaufnahme untereinander, was auch nur mit einer Mitgliedschaft möglich ist.;
12;12;Trauerfreundschaften;Wozu dienen die Profilfragen?;1;Damit ihr euch ein erstes Bild voneinander machen könnt, aber vor allem, um euch die gegenseitige Kontaktaufnahme zu erleichtern. Die beantworteten Profilfragen können ein wunderbarer „Aufhänger“ für ein erstes Gespräch sein. Das gleiche gilt für den Profilspruch.;
13;13;Trauerfreundschaften;Muss ich ein Profilbild hochladen und wie soll das aussehen?;1;Es wäre natürlich schön, wenn du ein Foto von DIR hochlädst – ist aber kein MUSS! Wenn du dich lieber nicht selbst zeigen möchtest, kannst du auch gerne ein anderes Bild nehmen, dass dir entspricht. Nur lade bitte kein Bild von oder mit anderen Menschen hoch. Wenn ein Mensch zu sehen ist, dann solltest DU dieser Mensch sein. Und natürlich sollte es kein Foto sein, das in irgendeiner Form „anzüglich“ oder bedrohlich wirken könnte.;
14;14;Trauerfreundschaften;Kann ich jemanden aus der Nähe meines Wohnortes finden?;1;Im Profil deiner dir vorgeschlagenen Trauerfreunde siehst du u.a. die ersten zwei Ziffern der Postleitzahl des Ortes, aus dem dieser TrostHeld kommt. Aus datenschutzrechtlichen Gründen zeigen wir nicht die komplette Postleitzahl. Manchen Mitgliedern gefällt die Vorstellung sich vielleicht früher oder später „in echt“ zu treffen, ohne lange Fahrtwege auf sich zu nehmen. Anderen ist wiederum eine gewisse örtliche Distanz wichtig. Das findet ihr gewiss miteinander heraus.;
15;15;Trauerfreundschaften;Kann ich den Kontakt zu anderen Mitgliedern abbrechen?;1;Ja. Du kannst den Kontakt jederzeit abbrechen. Du hast auch die Möglichkeit, andere Mitglieder über deren Profilseite zu blockieren. Und bei Verdacht auf Missbrauch des TrostHelden-Angebots bitten wir dich dringend, uns das unter "Profil melden" mitzuteilen.;
16;16;Trauerfreundschaften;Warum bekomme ich keine neuen Trauerfreunde-Vorschläge?;1;Das könnte daran liegen, dass deine persönliche Situation und deine Einstellungen eventuell sehr speziell sind, so dass momentan kein anderes Mitglied genau zu dir passt. Sobald sich wieder ein passender Trauerfreund anmeldet, bekommst du auf Wunsch sofort per Mail eine entsprechende Information von uns.;
17;17;Trauerfreundschaften;Warum ein Abo-Modell?;1;Wir finden, dass das Abo-Modell die sinnvollste Lösung für alle Beteiligten ist. Hast du einen Trauerfreund (oder gar mehrere) gefunden und ihr steht in gutem Kontakt, ist unsere Herzensangelegenheit erreicht: Wir konnten euch helfen, euch zu finden. Mit dem Auslaufen deines Abos endet deine offizielle Mitgliedschaft, gerne darfst du im Herzen und für deinen Trauerfreund ein TrostHeld bleiben. Nur nehmen wir dich aus der Datenbank, um zu vermeiden, diejenigen TrostHelden zu enttäuschen, die noch auf der Suche sind. Gleichzeitig musst du dich nicht damit konfrontieren anderen eine Absage zu erteilen. Außerdem ermöglicht uns das Abo-Modell eine Preisstaffelung, um dir entgegenkommen zu können, genauso wie es eine Zeitstaffelung ermöglicht, weil manch einer vielleicht länger braucht um in Kontakt treten zu können.<br><br>Hier findest Informationen dazu, warum es die TrostHelden Mitgliedschaft gibt, findest du <a href="https://www.trosthelden.de/warum-mitgliedschaft">in diesem Brief</a> der Gründer Jen und Hendrik.;
18;18;Trauerfreundschaften;Ich habe eine Frage zu den Abos, zu Zahlungsmöglichkeiten bzw. zur Kündigung.;1;Fragen und entsprechende Antworten zu den Laufzeiten der möglichen Abo-Modelle und Zahlungsarten sowie zur Kündigung findest du hier in den häufigen Fragen unter "Mitgliedschaften und Zahlungsmodalitäten".;
19;19;Trauerfreundschaften;Was bedeutet Matching pausieren?;1;Das Matching kannst du pausieren, wenn du dich für eine unserer Mitgliedschaftsvarianten entschieden hast. Mit einem Klick auf „Matching pausieren“ wirst du anderen TrostHelden nicht mehr angezeigt. Diese Option kann sinnvoll sein, wenn du schon eine Trauerfreund:in gefunden hast oder du gerade in einer Phase bist, in der dir die Kraft für Freundschaftsanfragen fehlt.;
20;20;Abos und Zahlungsmodalitäten;Was ist kostenlos?;1;Die Registrierung bei TrostHelden ist kostenlos und hiermit wirst du Teil unserer Community. Wir laden dich ein, dir unser Angebot kostenlos und unverbindlich anzuschauen. Du kannst den Fragebogen ausfüllen und hast dadurch die Möglichkeit zu schauen, welche Trauerfreund-Vorschläge wir dir machen und dir diese anzuschauen. Auch schlagen wir dich anderen TrostHelden vor, die dir möglicherweise eine Anfrage senden. So hast du einen guten Überblick für unser Angebot an dich, bevor es dich irgendetwas kostet.;
21;21;Abos und Zahlungsmodalitäten;Wann wird es kostenpflichtig?;1;Erst wenn du in den 1:1-Austausch mit möglichen Trauerfreunden gehen möchtest oder eine Anfrage von möglichen Trauerfreunden an dich annehmen möchtest.;
22;22;Abos und Zahlungsmodalitäten;Was kostet eine Mitgliedschaft bei TrostHelden? Welches sind die verschiedenen Abo-Modelle?;1;Du kannst dich bei TrostHelden kostenlos und unverbindlich anmelden, dadurch Teil unserer Community werden und schauen, ob dir unser Angebot gefällt.<br><br>Entscheidest du dich für eine Mitgliedschaft kannst du sie für 1, 3 oder 6 Monate abschließen. Sie kostet für<br><br><ul><li>1 Monat: 19,90 Euro/Monat</li><li>3 Monate: 49,90 Euro (16,63 Euro/Monat)</li><li>6 Monate: 89,90 Euro (14,98 Euro/Monat)</li></ul>;
23;23;Abos und Zahlungsmodalitäten;Wie lang ist meine Kündigungsfrist?;1;Die Kündigungsfrist beträgt 7 Tage zum jeweiligen Laufzeitende deiner Mitgliedschaft.;
24;24;Abos und Zahlungsmodalitäten;Wie kann ich meine Mitgliedschaft kündigen?;1;Du kannst deine Mitgliedschaft jeweils 7 Tage vor Ende deiner Abo-Laufzeit kündigen. Ansonsten verlängert sich dein Abo automatisch um einen Monat.<br><br>Deine Kündigung kannst du ganz unkompliziert direkt auf unserer Website im Login-Bereich durchführen. Verwende dazu den Button "Mitgliedschaft kündigen" am Ende der Seite oder gehe in die Einstellungen.<br><br>Kündigung während der Widerrufsfrist: Wie bei jedem anderen Kauf eines Produkts oder einer Dienstleistung hast du beim Abschluss eines TrostHelden-Abonnements ein 14-tägiges Widerrufsrecht. Solltest du in dieser Zeit den Service der Mitgliedschaft von TrostHelden allerdings schon in Anspruch genommen haben, behält sich TrostHelden vor, einen Wertersatz für bereits vermittelte Kontakte geltend zu machen. Die Höhe dieses Wertersatzes richtet sich nach der Zahl der Kontakte, die de facto zustande gekommen sind.;
25;25;Abos und Zahlungsmodalitäten;Warum hat sich meine Mitgliedschaft verlängert?;1;Deine Mitgliedschaft verlängert sich – unabhängig von deiner gewählten Laufzeit - um einen Monat, wenn du nicht entsprechend der Fristen kündigst. Auf diese Weise kannst du weiter alle Vorteile von TrostHelden in Anspruch nehmen.;
26;26;Abos und Zahlungsmodalitäten;Wie kann ich mich bei TrostHelden wieder abmelden, wenn ich kein Mitglied werden möchte?;1;Das wäre sehr schade, aber geht ganz einfach:<br><br>Auf deiner Profilseite gehst du auf „Einstellungen“, dort klickst du unter deinen Zugangsdaten auf „Profil löschen“, womit alle Angaben verloren gehen und wir deinen Account von der Plattform entfernen.;
27;27;Abos und Zahlungsmodalitäten;Wie kann ich bezahlen?;1;Du kannst bei TrostHelden per PayPal, Lastschrift (SEPA) oder per Kreditkarte bezahlen.;
28;28;Abos und Zahlungsmodalitäten;Wie lange läuft meine Mitgliedschaft?;1;Deine Mitgliedschaft läuft so lange wie deine gebuchte Laufzeit. Ohne Kündigung verlängert sie sich jeweils um einen Monat zu den gleichen finanziellen Konditionen.;
29;29;Abos und Zahlungsmodalitäten;Was geschieht, wenn meine Mitgliedschaft beendet ist?;1;Wenn du deine Mitgliedschaft kündigst, kannst du dein Profil behalten und weiter ein Teil von TrostHelden bleiben. Du kannst jedoch keinen 1:1-Kontakt zu anderen Mitgliedern aufnehmen oder halten. Wenn du gar nicht mehr Mitglied bei TrostHelden sein möchtest, löschst du dein Profil.;
30;30;Abos und Zahlungsmodalitäten;Was bedeutet Wertersatz bei Widerruf?;1;Wie bei jedem anderen Kauf eines Produkts oder einer Dienstleistung hast du beim Abschluss einer TrostHelden-Mitgliedschaft ein 14-tägiges Widerrufsrecht. Wenn du allerdings in diesen zwei Wochen schon Leistungen der Mitgliedschaft von TrostHelden in Anspruch genommen hast, behält sich TrostHelden vor, einen Wertersatz für bereits zustande gekommene Trauerfreund-Kontakte geltend zu machen. Die Höhe dieses Wertersatzes richtet sich nach der Zahl der Kontakte, die de facto zustande gekommen sind.Das ist dann zum Beispiel der Fall, wenn ein Nutzer einem von TrostHelden vorgeschlagenen Trauerfreund schreibt, dieser Trauerfreund antwortet und der Nutzer diese Antwort liest.;
31;31;Abos und Zahlungsmodalitäten;Wie lautet die Bankverbindung von TrostHelden?;1;Bitte überweise deine Zahlung auf folgendes Konto:<br><br>Trost-Helden GmbH, Volksbank Lüneburger Heide eG, IBAN DE50 2406 0300 2401 4524 00.<br><br>Oder per PayPal über <a href="mailto:hallo@trosthelden.de">hallo(at)trosthelden.de</a>;
32;32;Abos und Zahlungsmodalitäten;Wo finde ich die AGB´s?;1;Unsere Allgemeinen Geschäftsbedingungen findest du <a href="https://app.trosthelden.de/conditions">hier</a>.;
33;33;Abos und Zahlungsmodalitäten;Wie kann ich mit PayPal bezahlen?;1;Wenige Schritte reichen, um deine Mitgliedschaft per Paypal zu bezahlen. Du wirst auf unserer Webseite dabei Schritt für Schritt geführt.;
34;34;Abos und Zahlungsmodalitäten;Wo finde ich meine IBAN?;1;Deine IBAN findest du auf deinen Kontoauszügen und auf fast allen EC-Karten. Wenn du unsicher in Bezug auf deine IBAN bist, kannst du auch direkt deine Bank fragen.;
35;35;Abos und Zahlungsmodalitäten;Wieso wurde mein Beitrag erneut abgebucht?;1;"Deine Mitgliedschaft verlängert sich, wenn du nicht entsprechend der Fristen (einen Monat zum Laufzeitende) kündigst. Auf diese Weise kannst du weiter alle Vorteile von TrostHelden in Anspruch nehmen. Mehr Informationen findest du hier:<br><br><ul><li>unter Punkt ""Kündigung"" in den <a href=""https://app.trosthelden.de/conditions"">Allgemeinen Geschäftsbedingungen</a></li><li>sowie 	in der Bestellbestätigung, die du unmittelbar nach Buchung deiner 	Mitgliedschaft per E-Mail von uns bekommen hast.</li></ul><br><br>Dein Mitgliedsbeitrag wird auf die Zahlungsart abgebucht, die du gewünscht hast.";
36;36;Datenschutz und Sicherheit;Sind meine Daten bei TrostHelden sicher?;1;Ja! Bei TrostHelden handelt es sich um ein deutsches Unternehmen mit Sitz in Tostedt. Bei uns hat deine Sicherheit und der Schutz deiner persönlichen Daten höchste Priorität. Es ist selbstverständlich, dass wir die europäischen Datenschutz-Bestimmungen (EU-DSGVO) einhalten. Dabei nutzen wir eine 256-Bit-SSL Verschlüsselung. Wir speichern unsere Daten ausschliesslich in Deutschland. Alle Abläufe, auch die internen, sowie die getroffenen Sicherheitsmaßnahmen unterliegen einer ständigen und umfangreichen Kontrolle.;
37;37;Datenschutz und Sicherheit;Kann ich mich auf Diskretion verlassen?;1;Selbstverständlich. Die Sicherheit und der Schutz deiner persönlichen Daten hat für TrostHelden oberste Priorität. Nähere Informationen findest du in diesen häufigen Fragen unter "Datenschutz und Sicherheit". Zudem besteht die Möglichkeit, dass TrostHelden-Mitglieder uns Fehlverhalten anderer User melden können (siehe auch unter "Beitrag melden" hier in den häufigen Fragen bei "Datenschutz und Sicherheit").;
38;38;Datenschutz und Sicherheit;Nutzt TrostHelden meine Daten für irgendeine Form der Werbung?;1;Wir sind bewusst ein werbefreier Raum, auf den Seiten von TrostHelden wird keine externe Werbung gezeigt.;
39;39;Datenschutz und Sicherheit;Bleibe ich bei TrostHelden anonym?;1;TrostHelden ist eine sichere Seite für die Suche nach einem Trauerfreund. Andere Mitglieder erfahren weder deinen echten Namen noch deine E-Mail-Adresse oder Anschrift. Sie sehen dein Foto sowie die ersten zwei Ziffern deiner Postleitzahl: Sie kennzeichnen die Region, aus der du kommst. Dein Profil erscheint unter dem von dir gewählten Profilnamen. Weiter werden in deinem Profil Informationen aus der Beantwortung des Matching-Fragebogens angezeigt, damit andere Mitglieder sich ein Bild über dich machen können – und du über sie. Auch das Anschauen der Profile ist anonym. Weder kannst du sehen, wer dein Profil besucht hat, noch sieht jemand anderes, dass du sein Profil angeschaut hast.;
40;40;Datenschutz und Sicherheit;Wie schützt TrostHelden seine Mitglieder vor unseriösen Kontakten?;1;TrostHelden ergreift eine Reihe von Vorkehrungen, damit diese Plattform sicher ist. Wir tun alles, um eine missbräuchliche Nutzung zu verhindern.<br><br>Leider gibt es immer wieder Personen, die nicht aufrichtig sind. Wenn du Kontakt zu einem Menschen aufnimmst, den du über TrostHelden kennengelernt hast, vertraue stets deiner inneren Stimme und deinem gesunden Menschenverstand. Besonders aufmerksam solltest du zum Beispiel immer dann werden, wenn von dieser Person das Thema Geld angesprochen wird. Wie du sicher gehört hast, verhalten sich Betrüger mitunter sehr geschickt. Sie bauen komplett erfundene Identitäten im Netz auf, mit höchst aktiven Facebook- und Instagram-Accounts, Webpräsenzen von vorgetäuschten Firmen und sogar Akteuren für Video-Chats. Sie gehen dabei äußerst professionell vor. <br><br>Zur Trauerfreund-Suche gehören die Bereitschaft, sich zu öffnen, Sorgen und Ängste zu teilen und sich mit Gleichgesinnten auszutauschen. Wir tun alles, dass du genau dieses ohne Probleme tun kannst. <br><br>Deine persönlichen Angaben behandeln wir stets streng vertraulich. <br><br>Uns ist wichtig zu betonen, dass TrostHelden aus Datenschutzgründen keinerlei Zugriff auf den kommunikativen Austausch der Mitglieder untereinander hat. Das ist eure persönliche, private Kommunikation. Wenn Probleme mit einem Mitglied entstehen sollten, kannst du uns das jederzeit über den Button "Nutzer melden" anzeigen. Wir gehen jedem Hinweis nach. <br><br>Wir stellen dich im Rahmen deiner Mitgliedschaft möglichen Trauerfreunden mittels deines Profilnamens vor. Das TrostHelden-Angebot können ausschließlich Menschen nutzen, die sich als Mitglieder registriert haben. Bei der Registrierung muss jeder unsere Allgemeinen Geschäftsbedingungen (AGB) akzeptieren. Damit geht jedes Mitglied die Verpflichtung ein, TrostHelden nicht missbräuchlich zu verwenden. Wir treffen zahlreiche technische Maßnahmen, damit mögliche Betrüger rasch erkannt und von unserer Plattform ausgeschlossen werden. Darüber hinaus prüft unser Kundenservice frei geschriebene Textbeiträge sowie Profilfotos. Erscheint ein Profil verdächtig, wird es auf der Stelle ausgeschlossen. Das bedeutet auch, dass das betreffende Mitglied nicht mehr in Kontakt mit dir treten kann. Nachrichten von Mitgliedern, die von unserem Angebot ausgeschlossen sind, sind automatisch als Spam gekennzeichnet. Sie werden nicht mehr in deinem Posteingang angezeigt.;
41;41;Datenschutz und Sicherheit;Ich hatte Kontakt zu einem unseriösen Mitglied. Was kann ich tun?;1;TrostHelden ergreift eine Reihe effektiver Maßnahmen, damit diese Plattform sicher ist. Diese Vorkehrungen dienen dazu, dich zu schützen, damit du unser Angebot unbesorgt nutzen kannst. Leider gibt es auch im Internet unaufrichtige Menschen. <br><br>Deshalb liegt uns folgendes am Herzen: <br><br>Trosthelden bietet dir einen geschützten Bereich, um einen Trauerfreund zu finden und dich im Rahmen einer Mitgliedschaft mit anderen Trauernden auszutauschen. Wenn du diesen Raum verlässt und zum Beispiel einem anderen Mitglied deine persönlichen Kontaktdaten wie Telefonnummer oder E-Mail-Adresse nennst, verlässt du diesen geschützten Bereich. Bevor du das tust, solltest du dir sicher sein, dass es sich um eine ehrliche Person handelt. Wenn du diesem Menschen bereits deine persönlichen Daten genannt und plötzlich Zweifel hast, wende dich bitte an uns. Wir beraten und unterstützen dich. Unsere Mitarbeiter schlagen dir die richtigen Ansprechpartner vor, wenn du nützliche Adressen oder psychologische Hilfe benötigst oder wenn du eine Anzeige erstatten möchtest. <br><br>Unter jedem Beitrag findest du auch den Button "Profil melden". Darüber kannst du TrostHelden auf mögliche Verstöße hinweisen. Wir haben unter anderem die Möglichkeit, Mitglieder bei missbräuchlicher Nutzung unseres Angebotes auszuschließen.;
42;42;Datenschutz und Sicherheit;Wie mache ich mein Passwort sicher?;1;Dein Passwort bei TrostHelden muss mindestens aus 8 Zeichen bestehen, die aus Groß- und Kleinbuchstaben sowie Zahlen bestehen müssen. Du solltest dich auf keinem Fall für ein zu einfaches, naheliegendes Passwort entscheiden. Das birgt die Gefahr, dass Dritte dein Passwort erraten oder es durch Ausprobieren herausfinden und sich dann unter deinem Namen bei TrostHelden einloggen. Das können wir nicht verhindern. Deshalb sind hier einige Hinweise in Bezug auf ein sicheres Passwort: <br><br><ol><li>Verwende weder Teile deiner E-Mail-Adresse noch andere persönliche Daten wie deinen Namen oder Geburtstag.</li><li>Verwende immer mindestens acht Zeichen.</li><li>Der Mix macht's: Wähle Groß- und Kleinbuchstaben sowie Zahlen.</li></ol><br><br>Extra-Tipp:<br><br>Du kannst dir dein Passwort einfach merken, indem du dir eine Eselsbrücke baust. Zum Beispiel kannst du dein Passwort von einem Satz herleiten. Etwa: "VmFsia5H" – "Von meinem Fenster schaue ich auf 5 Häuser." (Dieses Passwort nicht benutzen!) <br><br>Wichtig ist zudem, nie dasselbe Passwort für verschiedene Webseiten-Zugänge und Service-Angebote zu verwenden. Sicherer ist es, stets ein anderes Passwort zu wählen.;
43;43;Login,Technik, Profil;Wie kann ich den Kundenservice erreichen?;1;Sehr viele Fragen sind hier in unseren Häufigen Fragen beantwortet. Wenn du hier die passende Antwort nicht findest, kannst du uns eine Mail senden. Bei Fragen zu deiner Mitgliedschaft oder der Trauerfreund-Suche steht dir unser Kundenservice unter <a href="mailto:service@trosthelden.de">service(at)trosthelden.de</a> mit Rat und Tat zur Seite.;
44;44;Login,Technik, Profil;Wie logge ich mich ein?;1;Ganz oben unserer Internetpräsenz findest du rechts die Möglichkeit zum Einloggen.;
45;45;Login,Technik, Profil;Ich habe Probleme beim Einloggen. Woran kann das liegen?;1;Prüfe bitte, ob du die richtigen Login-Daten verwendest. Wichtig ist, auch auf die Groß- und Kleinschreibung zu achten. Bitte versuche es dann noch einmal. Du hast dein Passwort vergessen? Dann können wir dir ein neues Passwort zusenden.;
46;46;Login,Technik, Profil;Ich habe meine Login-Daten vergessen. Was kann ich tun?;1;Du findest auf der TrostHelden-Startseite oben den Bereich "Mitglieder-Login". Bitte klicke dort auf "Login vergessen?".Auf der folgenden Seite gibst du dann deine E-Mail-Adresse an, die du uns in deinem Profil genannt hast. Aktiviere danach den Button "Passwort anfordern". Innerhalb von wenigen Minuten schicken wir dir eine E-Mail mit einem Link, über den du dein neues persönliches Passwort festlegen kannst. Aus Sicherheitsgründen ist dieser Link nur 24 Stunden gültig.;
47;47;Login,Technik, Profil;Wie kann ich meine E-Mail-Adresse ändern?;1;Persönliche Daten wie deine E-Mail-Adresse kannst du ganz einfach selbst aktualisieren. Öffne dafür einfach auf deiner persönlichen TrostHelden-Startseite den Bereich der Einstellungen. Dort siehst du alle für dein Profil hinterlegten persönlichen Daten und die Möglichkeit, deine E-Mail-Adresse zu ändern.;
48;48;Login,Technik, Profil;Was sind Cookies?;1;Ein Cookie ist eine winzige Datei, die beim Aufrufen von Webseiten auf deinem Computer gespeichert wird. Cookies legen Informationen wie etwa die persönlichen Seiteneinstellungen ab. Ein Cookie speichert nur Informationen, die du zur Verfügung gestellt hast.;
49;49;Login,Technik, Profil;Wo kann ich meine Mailbenachrichtigungen oder Newslettereinstellungen ändern?;1;Deine Mailbenachrichtigungen zu ändern, ist ganz einfach: Du klickst nach dem Login bei TrostHelden auf das Symbol des Zahnrads (Einstellungen). Dort gelangst du auch zu deinen Benachrichtigungseinstellungen. Für die Abbestellung unserer Newsletter gibt es in jeder unserer Mails die Möglichkeit, diesen über einen Link abzubestellen.;
50;50;Login,Technik, Profil;Kann ich TrostHelden auch von meinem Handy aus nutzen?;1;TrostHelden steht dir natürlich auch auf deinem Handy zur Verfügung. Denn Trauer kennt keinen Ort und keine Uhrzeit. Egal, wo du wann bist: Über www.trosthelden.de hast du die Möglichkeit, jederzeit mit deinen Trauerfreunden verbunden zu sein. Unser Angebot ist auf die Bildschirmgröße deines Mobiltelefons optimiert.;
51;51;Login,Technik, Profil;Woran kann es liegen, dass die Seiten von TrostHelden fehlerhaft angezeigt werden?;1;Unsere TrostHelden-Website ist auf die neuesten Versionen der üblichen Internet-Browser ausgerichtet. Wenn du eine ältere Version benutzt, kann es vorkommen, dass die Seiten von TrostHelden fehlerhaft angezeigt werden. Das betrifft zum Beispiel alle Versionen vor dem Internet Explorer 11. <br><br>Tipp: Du könntest deinen Internet-Browser updaten und eine aktuelle Version verwenden.;
52;52;Login,Technik, Profil;An wen kann ich mich bei technischen Problemen wenden?;1;Wenn du technische Probleme hast, kannst du dich an unseren Kundenservice unter <a href="mailto:service@trosthelden.de">service(at)trosthelden.de</a> wenden. Er steht dir mit Rat und Tat zur Seite. Schicke uns über das Kontaktformular eine entsprechende Nachricht. Eine Bitte: Schreibe uns möglichst detailliert, was du machen wolltest und welches Problem dabei aufgetaucht ist. Wenn du bereits Mitglied bei TrostHelden bist, sende uns auch die E-Mail-Adresse, die du in deinem Profil hinterlegt hast. <br><br>Wir möchten dir so rasch wie möglich helfen. Deshalb schreibe uns bitte auch, welchen Internet-Browser du nutzt – zum Beispiel Safari, Internet Explorer, Mozilla Firefox oder Google Chrome. Bitte füge auch die Version hinzu. Und informiere uns bitte, wie die Fehlermeldung lautet, die du erhalten hast.;
53;53;Login,Technik, Profil;Kann ich mein Profil wieder herstellen, nachdem ich es gelöscht habe?;1;Die Löschung deines Profils kann leider nicht rückgängig gemacht werden. Aus datenschutzrechtlichen Gründen werden mit der Profillöschung alle Profileinträge, deine Antworten im Fragebogen, alle Kontakte und Nachrichten dauerhaft gelöscht.;
